	elu0	elu30	elu60	elu90	elu120	elu150	elu180	elu210	elu240	elu270	elu300	elu330	elu360	elu390
YAL001C	0.3	-0.12	0.24	0.18	-0.24	0.11	-0.12	0.37	0.07	-0.09	-0.32	0.04	-0.48	0.04
YAL002W	0.14	0.17	0.03	0.35	0.03	-0.08	-0.13	-0.21	-0.06	-0.1	-0.19	0.08	0.01	-0.02
YAL003W	-1.54	-0.3		0.39	0.18	0.28	0.15	0.4	0.24	0.22	-0.27	-0.1	0.34	0.02
YAL004W	0.36	0.1	0.11	0.14	-0.15	-0.73	-0.79	-0.2	0.34	0.07	-0.59	0.35	0.66	0.32
YAL005C	-0.09	-0.02		0.25	-0.45	-0.83	-0.26	-0.16	0.3	0.21	-0.43	0.21	0.6	0.65
YAL007C	-0.17	-0.28	-0.16	0.2	0.36	0.17	0.39	0.1	0	-0.16	0.29	-0.06	-0.26	-0.41
YAL008W	0.2	0.4	-0.59	0.29	-0.42	-0.16	0.2	0.07	0.01	-0.04	-0.02	0.19	-0.42	0.29
YAL009W	0.49	0.23	0.06	0.32	0.12	0.12	0.29	-0.1	-0.41	-0.65	-0.07	-0.35	-0.19	0.15
YAL010C	0.67	0.52		-0.5	-0.34	-0.17	0.37	-0.08	-0.01	0.02	0.34	0.05	-0.93	0.05
YAL011W	0.03	-0.13	0.03	0.16	0.26	-0.01	-0.15	-0.17	0.08	0.11	-0.13	-0.09	-0.01	0.01
YAL012W	-1.31	0.31		0.07	0.11	0.17	0.27	0.03	0.09	0.47	-0.08	0.11	-0.41	0.16
YAL013W	0.68	-0.14	-0.26	0.23	0	-0.23	0	0.21	-0.02	-0.02	-0.33	0.03	-0.23	0.07
YAL014C	0.45	-0.21	-0.32	-0.13	-0.13	0	-0.3	-0.1	0.18	0.04	-0.05	0.19	0.18	0.21
YAL015C	-0.3	-0.35	0.07	0.09	0.21	-0.4	-0.18	0.12	0.33	-0.03	-0.16	0.33	0.28	0.01
YAL016W	0.83	-0.45	-0.43	0.05	-0.54	-0.39	0.03	-0.1	0.45	0.16	-0.39	0.42	0.13	0.23
YAL017W	1.18	-0.13	-0.07	-0.13	-0.55	-0.66	-0.34	-0.09	0.15	0.08	-0.25	0.42	0.34	0.03
YAL018C	-0.24	1.13	0.07	0.47	0.34	-0.15	-0.29	-0.24	-0.08	-0.52	-0.15	-0.22	-0.49	0.36
YAL019W	-0.93	-0.13	-0.11	0.23	0.77	0.42	0.22	0.15	0.06	0.34	-0.11	-0.26	-0.36	-0.28
