	Day1	Day2	Day2’’	Day3	Day4	Day4’’	Day5	Day6	Day6’’	Day7	Day8	Day8’’	Day9	Day10	Day10’’	Day11	Day12	Day12’’	Day13	Day14	Day14’’	Day15	Day16	Day16’’	Day17	Day18	Day18’’	Day19	Day20	Day20’’
Data	100	216	19473391.6401367	257	239	9914291.92822266	67	77	4688275.64208984	259	109	2020600.74267578	128	179	771982.628417969	86	147	250296.510253906	305	133	63849.2866210938	183	91	10997.9184570313	121	251	891.30419921875	87	255	112.65478515625
Data	149	171	7566737.34472656	220	288	3880971.52441406	201	206	1850357.11816406	344	124	804814.907226563	313	90	310652.297851562	153	261	101889.321289063	216	249	26327.6337890625	150	180	4590.5166015625	285	217	361.8759765625	193	237	52.2431640625
Data	202	92	-8959815.82324219	101	124	-4555531.62792969	92	70	-2151015.54980469	96	53	-925478.432617187	171	118	-352829.995117188	68	154	-114022.831054688	88	67	-28857.4091796875	107	122	-4780.0732421875	54	152	-206.0419921875	70	143	100.5908203125
Data	83	80	-1423075.40185547	149	102	-746813.602050781	298	158	-364871.337402344	175	188	-162870.646972656	97	60	-64588.0073242188	100	272	-21739.4575195312	92	66	-5685.22412109375	192	123	-876.84619140625	118	60	130.19970703125	92	88	275.37451171875
Data	66	192	1274518.90771484	123	118	647579.041503906	60	92	305556.913574219	88	142	131411.281738281	74	63	50152.0913085938	160	247	16331.1000976563	155	163	4306.00341796875	83	138	929.05908203125	139	365	311.21240234375	230	118	312.72119140625
Data	161	170	909527.972167969	210	288	451315.463378906	168	192	207295.474121094	192	151	86444.2153320313	192	292	31837.8354492188	202	316	9952.79541015625	227	242	2515.74365234375	221	292	543.89111328125	221	151	216.88623046875	288	192	221.18994140625
Data	187	259	-30784483.1958008	202	138	-15681556.3862305	149	97	-7420009.88525391	199	239	-3200039.52880859	177	110	-1223339.21533203	159	192	-396701.780761719	115	180	-100952.373535156	82	256	-17023.3295898438	194	147	-979.54736328125	210	197	196.63720703125
Data	222	240	13010012.8203125	121	73	6582389.28125	168	65	3090927.0234375	69	210	1321672.796875	60	236	500469.3515625	278	134	160648.4375	171	57	40535.8046875	268	253	6912.203125	49	262	574.3828125	106	70	140.09375
Data	151	83	-17861372.2573242	45	132	-9108143.84033203	309	82	-4314678.77099609	346	109	-1863158.21337891	241	94	-713224.269042969	297	111	-231568.102050781	365	203	-58925.5639648438	101	101	-9823.31884765625	115	148	-418.46826171875	156	289	225.32373046875
Data	161	147	27615028.7685547	245	302	14116516.5400391	161	150	6705581.44433594	150	152	2904599.59082031	140	221	1115962.46386719	277	187	364074.672851563	211	228	93462.7021484375	289	191	16108.6611328125	268	252	1123.0341796875	205	211	-129.5693359375
Data	146	49	-9762730.34619141	57	205	-4963969.93505859	134	256	-2343873.91064453	190	51	-1008410.85888672	308	170	-384417.678222656	52	197	-124233.454589844	232	76	-31471.8364257812	308	87	-5260.90966796875	260	132	-279.57275390625	38	76	80.58837890625
Data	51	308	-4514912.50488281	170	52	-2235437.11425781	197	232	-1023317.70019531	76	308	-424431.168945313	87	260	-154808.551757813	132	38	-47342.0048828125	76	316	-11106.8095703125	115	214	-1558.3720703125	38	335	135.7763671875	54	173	368.9794921875
Data	80	142	-12929529.6381836	197	207	-6584130.83642578	376	38	-3114262.91357422	89	40	-1342517.98681641	349	196	-512939.360839844	292	44	-166170.402832031	157	189	-42162.9174804688	204	181	-6978.02197265625	67	341	-212.52099609375	282	98	416.21826171875
Data	128	54	10718691.6518555	332	243	5515393.36181641	102	179	2639250.81005859	80	133	1152762.14501953	142	32	447133.452636719	299	171	147529.131347656	271	235	38451.7670898438	240	110	6868.50830078125	46	251	700.94091796875	293	126	295.46337890625
Data	275	50	-16135265.6030273	138	72	-8203244.05908203	330	205	-3872897.61279297	49	338	-1666007.31884766	269	60	-634990.919433594	190	24	-205156.719238281	226	111	-51928.9604492188	267	212	-8625.69775390625	198	158	-370.17333984375	292	57	283.30810546875
Data	84	292	-13966766.0092773	229	177	-7119141.09814453	105	138	-3371163.78466797	47	23	-1455277.06103516	176	348	-556988.606933594	289	244	-180869.664550781	178	62	-46085.4135742188	213	148	-7749.84619140625	96	106	-398.14208984375	205	293	130.45654296875
Data	119	89	5406621.90576172	67	79	2742283.11962891	164	170	1291170.63427734	219	74	553714.316894531	59	271	210353.472167969	65	138	67791.7172851563	56	256	17221.3569335938	184	81	3002.25830078125	100	71	280.22607421875	98	211	29.87744140625
Data	50	292	6831585.58056641	77	92	3428831.87841797	90	61	1595810.48486328	107	63	675627.876464844	43	85	253039.342285156	111	96	80277.6088867187	274	69	20065.9653320312	251	69	3494.88818359375	130	106	441.16650390625	73	80	208.52685546875
Data	73	192	-3507901.85058594	162	213	-1793522.89355469	285	65	-851893.616210938	94	55	-368816.206054687	74	291	-141490.225585938	263	110	-45963.1123046875	297	92	-11609.6787109375	92	302	-1792.6123046875	303	338	144.0244140625	239	186	396.2939453125
Data	223	158	-25819775.9736328	320	233	-13167128.1884766	249	152	-6238520.12988281	220	75	-2694793.67285156	272	195	-1032186.81738281	301	363	-335504.188476563	182	262	-85614.5361328125	92	153	-14467.2353515625	164	49	-819.7861328125	320	405	131.6865234375
Data	235	277	5297076.61132813	181	268	2703253.61328125	177	374	1281652.61523438	389	232	553980.7890625	70	59	212349.056640625	75	46	69124.33984375	68	204	17737.810546875	303	103	3099.140625	138	103	266.751953125	90	189	24.06640625
Data	81	133	-740138.652832031	140	108	-369830.038574219	134	133	-171165.326660156	81	73	-71931.1655273437	56	132	-26638.7661132813	54	73	-8265.77685546875	158	154	-1926.65869140625	174	91	-208.56005859375	97	242	90.30810546875	58	109	82.79736328125
Data	155	154	-12346312.5151367	113	98	-6309725.03173828	150	167	-2996386.45849609	103	139	-1297465.42822266	104	128	-498214.511230469	104	118	-162323.840332031	127	107	-41466.2358398437	168	126	-6932.83056640625	135	133	-258.19482421875	98	160	266.03857421875
Data	179	142	-4957929.02929688	126	300	-2513794.25585937	282	283	-1183010.81054688	247	129	-506941.880859375	134	119	-192294.404296875	210	184	-61720.068359375	147	128	-15430.310546875	152	169	-2425.318359375	163	163	62.970703125	212	233	313.869140625
Data	136	97	46906.416015625	183	151	26717.5625	167	193	14099.021484375	43	135	6805.12109375	143	153	2974.939453125	196	120	1197.0546875	138	142	498.294921875	145	136	278.48828125	152	153	213.212890625	258	148	146.546875
Data	234	212	-4267141.48046875	233	261	-2171454.26953125	227	298	-1026267.43359375	292	219	-441995.09765625	246	249	-168675.88671875	188	200	-54547.92578125	200	102	-13783.83984375	267	219	-2233.75390625	286	214	-24.29296875	186	210	138.41796875
Data	101	174	4943825.91845703	155	71	2511643.54638672	109	215	1184947.38916016	156	144	509423.532714844	157	131	194130.625488281	136	117	62812.7534179688	79	153	16044.8149414063	107	137	2835.39599609375	129	171	312.14501953125	127	121	114.64794921875
Data	80	284	9032448.33886719	222	178	4593224.39160156	173	151	2169458.63964844	89	213	933909.942382813	84	191	356413.534179687	140	133	115466.774414063	223	215	29469.8974609375	179	99	5119.7626953125	150	180	454.6044921875	135	237	47.7822265625
Data	219	86	-2409674.28076172	67	105	-1175974.04150391	196	160	-529065.665527344	115	131	-214814.145019531	154	127	-76267.9096679688	150	84	-22487.7016601563	164	149	-4968.95068359375	105	200	-574.64892578125	244	211	104.27392578125	116	199	44.07568359375
Data	195	165	25595104.6411133	114	69	13021909.519043	183	227	6152886.08056641	93	179	2649369.53662109	242	168	1011088.16064453	127	66	327360.163574219	80	201	83319.0688476562	274	132	14240.5874023438	258	104	1043.99267578125	104	241	40.99560546875
Data	282	152	27104446.0605469	189	272	13773651.6875	131	200	6499902.43945313	330	121	2795029.55078125	268	271	1065156.50585938	140	295	344357.2890625	296	121	87534.634765625	157	160	15000.27734375	207	112	1239.201171875	134	71	339.890625
Data	258	99	-10741639.940918	309	290	-5462778.14111328	350	222	-2580278.15771484	167	145	-1110707.96728516	123	192	-423733.983886719	169	88	-137060.184082031	362	188	-34714.7319335938	105	262	-5715.10400390625	222	233	-142.71435546875	350	211	341.96044921875
Data	198	245	-9747761.06347656	226	137	-4937933.56933594	173	182	-2321740.59863281	257	75	-994058.010742188	161	121	-376816.790039063	119	234	-120958.795898438	95	147	-30373.5126953125	218	119	-4993.7998046875	137	74	-228.6416015625	265	106	89.1025390625
Data	189	171	-15206225.2509766	175	83	-7777567.57324219	322	172	-3696790.98144531	130	306	-1602401.11621094	186	168	-616042.743164063	179	91	-201002.002929687	94	114	-51449.6611328125	179	172	-8655.3583984375	96	168	-402.8603515625	78	154	163.6923828125
Data	205	53	28286702.7509766	43	38	14420016.5263672	213	47	6828730.70019531	187	46	2947778.78808594	44	233	1128151.43066406	199	85	366392.643554687	193	67	93517.0673828125	223	67	15946.2177734375	206	206	1061.7353515625	147	149	-26.3642578125
Data	162	39	6493449.86523438	77	48	3314323.06835937	245	114	1571564.38085938	277	46	679341.740234375	245	89	260404.833984375	45	71	84769.099609375	198	162	21769.724609375	76	40	3845.646484375	34	89	413.552734375	46	50	191.880859375
Data	131	186	43604266.3188477	99	80	22204955.2299805	51	45	10503165.668457	79	172	4528187.51708984	70	94	1730587.97119141	75	232	561200.663574219	215	104	143031.289550781	235	152	24410.7319335937	128	95	1726.68603515625	189	254	64.78466796875
Data	267	91	14776123.5249023	265	246	7554117.91455078	89	56	3588924.30810547	156	215	1554991.91650391	247	176	597675.638183594	93	214	195105.434082031	302	273	50135.2026367188	60	46	8668.15478515625	231	174	655.68896484375	187	91	66.76611328125
Data	231	174	-11572392.3618164	187	91	-5916444.45849609	211	252	-2810448.87939453	109	162	-1217156.77294922	229	194	-467367.600097656	119	289	-152224.009277344	147	62	-38845.2114257813	102	318	-6459.85498046875	102	218	-199.40087890625	106	242	287.00244140625
Data	123	233	-16284610.2084961	263	209	-8312779.70556641	252	239	-3942691.65966797	75	87	-1704961.23486328	111	243	-653779.282714844	275	197	-212715.467285156	158	74	-54290.8901367187	101	248	-9127.21533203125	223	244	-479.29443359375	242	216	41.70849609375
Data	192	59	-10596264.0541992	129	81	-5421027.97119141	180	120	-2577696.03271484	271	197	-1117962.16845703	120	263	-430145.745605469	170	139	-140498.443847656	134	278	-36012.6303710937	254	196	-6072.23486328125	238	100	-287.12451171875	68	243	148.02099609375
Data	293	140	8175988.35644531	200	223	4149407.20605469	173	241	1955245.11035156	288	209	839353.928710938	83	188	319254.145507812	148	225	102998.620117188	199	190	26141.3369140625	223	143	4501.1552734375	64	250	410.5595703125	109	50	139.4091796875
Data	98	52	-1725650.03955078	170	54	-878540.704589844	153	53	-415417.412597656	160	59	-178998.765136719	106	106	-68329.9262695313	93	102	-22084.2475585937	141	105	-5555.39306640625	63	86	-874.96435546875	120	59	9.37451171875	146	127	60.27197265625
Data	120	59	-11856960.5209961	146	127	-6032580.05712891	123	122	-2850676.42529297	112	100	-1227658.10205078	102	101	-468573.251464844	108	109	-151657.850097656	102	106	-38477.3120117188	105	83	-6420.61376953125	76	73	-305.91943359375	63	98	143.29443359375
Data	276	105	5658829.17431641	138	227	2881757.26123047	205	109	1363325.68798828	167	177	587992.181152344	88	72	224892.279785156	113	201	73046.9604492188	109	122	18702.7622070313	210	156	3267.41162109375	76	35	303.94775390625	107	150	46.34716796875
Data	124	161	9604141.20556641	45	44	4891331.88037109	227	115	2314152.41064453	103	135	998075.882324219	108	70	381708.693847656	75	82	123957.431152344	69	211	31722.2426757812	56	123	5525.71435546875	177	81	486.24462890625	90	112	44.91943359375
Data	239	261	-7826376.31005859	136	169	-3983143.23876953	182	76	-1882699.98388672	78	79	-810922.381347656	144	128	-309507.454589844	147	171	-100129.789550781	185	63	-25349.4096679688	144	131	-4168.15087890625	249	251	-131.53662109375	118	138	126.84716796875
Data	79	158	11305489.109375	224	78	5785685.6015625	190	92	2751590.5	112	154	1193458.3046875	101	72	459250.515625	124	164	150164.6328125	84	224	38743.15625	164	238	6826.5859375	192	153	614.421875	130	178	98.1640625
Data	281	304	35907985.246582	292	360	18306057.1616211	320	185	8669416.05712891	300	297	3742544.09716797	301	199	1432415.50830078	210	377	465284.204589844	361	349	118841.912597656	400	175	20361.7963867188	210	300	1442.58251953125	160	140	-31.81494140625
Data	202	256	15535275.6567383	192	239	7921340.41552734	215	341	3752242.99853516	324	367	1620313.19482422	304	218	620437.355957031	75	281	201710.020996094	336	316	51660.0415039063	274	202	8994.20654296875	256	133	801.36767578125	119	87	160.06396484375
Data	283	228	1806221.06542969	347	221	907845.624023438	254	285	423215.831054688	196	354	179560.624023438	191	201	67479.8154296875	122	287	21576.5927734375	266	245	5547.0185546875	275	294	1134.5302734375	304	235	357.4404296875	229	233	417.4365234375
Data	266	245	-651307.60546875	275	294	-311321.646484375	304	235	-136315.890625	229	233	-53335.759765625	222	197	-17932.67578125	294	68	-4815.310546875	311	305	-830.8359375	199	320	65.826171875	166	299	196.75390625	349	259	241.775390625
Data	101	132	24419611.8212891	119	210	12456424.1220703	273	233	5903007.24316406	69	130	2550219.49707031	141	71	976923.821289063	163	178	317661.278320312	172	206	81247.5556640625	201	190	13972.4658203125	147	71	1082.4462890625	216	240	226.0595703125
Data	276	324	15892912.0957031	251	226	8093978.11914062	318	50	3828887.22070313	228	25	1650933.40039063	221	259	631107.908203125	86	325	204812.244140625	259	177	52377.158203125	166	271	9147.650390625	89	162	893.970703125	235	85	308.619140625
Data	216	314	15881967.3598633	330	347	8120083.60693359	179	329	3857861.64697266	310	268	1671406.86279297	348	246	642336.199707031	267	344	209680.290527344	336	340	53956.0805664063	261	223	9468.95263671875	333	334	903.35205078125	342	210	260.91162109375
Data	305	84	-3229093.9921875	226	87	-1704136.64453125	338	264	-837501.828125	417	352	-376170.69921875	380	243	-150180.4140625	102	340	-50955.62890625	158	257	-13516	270	196	-2251.68359375	367	186	41.1640625	317	284	172.88671875
Data	345	95	13950572.6606445	201	142	7170984.85498047	96	249	3427234.63916016	285	215	1494672.63037109	199	334	578665.008300781	306	182	190460.890136719	222	260	49460.2055664063	75	323	8759.07177734375	303	278	849.66845703125	194	201	351.61279296875
Data	235	219	7000480.06201172	149	154	3572362.52587891	259	203	1693752.82177734	178	70	732193.754394531	334	288	280718.565917969	129	105	91395.8110351562	197	73	23439.7319335937	297	227	4075.13330078125	184	176	345.75732421875	335	415	55.15869140625
Data	134	115	10104201.2851563	100	129	5154418.11914063	118	148	2442700.375	91	135	1055294.63085938	124	98	404263.46484375	84	118	131490.205078125	112	117	33697.6796875	94	120	5878.966796875	115	115	538.14453125	85	111	139.041015625
Data	354	66		233	221		155	133		245	102		221	144		120	107		194	51		199	180		183	194		171	171	
