	Day1	Day2	Day2’’	Day3	Day4	Day4’’	Day5	Day6	Day6’’	Day7	Day8	Day8’’	Day9	Day10	Day10’’	Day11	Day12	Day12’’	Day13	Day14	Day14’’	Day15	Day16	Day16’’	Day17	Day18	Day18’’	Day19
Data	100	216	550.92106628418	257	239	47.2293243408203	67	77	187.520492553711	259	109	224.483047485352	128	179	60.1140594482422	86	147	195.883255004883	305	133	310.209579467773	183	91	43.8752593994141	121	251	446.502365112305	87
Data	149	171	113.226638793945	220	288	208.735092163086	201	206	261.852432250977	344	124	370.075729370117	313	90	216.062210083008	153	261	163.980819702148	216	249	225.801284790039	150	180	90.6456756591797	285	217	745.82746887207	193
Data	202	92	-168.810623168945	101	124	165.442031860352	92	70	54.3123626708984	96	53	157.315017700195	171	118	126.054489135742	68	154	51.7173004150391	88	67	127.626693725586	107	122	37.2348175048828	54	152	258.42741394043	70
Data	83	80	38.1621704101562	149	102	264.838745117187	298	158	251.128601074219	175	188	117.90478515625	97	60	98.7747192382813	100	272	92.2208251953125	92	66	125.741149902344	192	123	225.739990234375	118	60	-119.081481933594	92
Data	66	192	336.766204833984	123	118	33.4412536621094	60	92	92.6934509277344	88	142	69.2220153808594	74	63	112.499603271484	160	247	179.647308349609	155	163	107.684661865234	83	138	105.654632568359	139	365	124.123626708984	230
Data	161	170	258.821716308594	210	288	171.503356933594	168	192	181.171325683594	192	151	194.138122558594	192	292	193.263122558594	202	316	215.702575683594	227	242	228.909606933594	221	292	212.884216308594	221	151	254.673278808594	288
Data	187	259	342.202133178711	202	138	133.255508422852	149	97	184.266403198242	199	239	191.360794067383	177	110	166.988876342773	159	192	143.089126586914	115	180	86.3148651123047	82	256	121.948318481445	194	147	241.627182006836	210
Data	222	240	496.944488525391	121	73	78.0536193847656	168	65	163.640289306641	69	210	8.13027954101563	60	236	186.613433837891	278	134	259.218658447266	171	57	147.113922119141	268	253	371.631256103516	49	262	-756.983245849609	106
Data	151	83	-16.0624847412109	45	132	185.357223510742	309	82	364.258865356445	346	109	287.979354858398	241	94	243.500137329102	297	111	359.455001831055	365	203	268.825393676758	101	101	-7.05177307128906	115	148	432.961196899414	156
Data	161	147	621.751876831055	245	302	114.055252075195	161	150	187.806381225586	150	152	113.967178344727	140	221	216.558151245117	277	187	268.197463989258	211	228	195.452499389648	289	191	403.628921508789	268	252	-216.87776184082	205
Data	146	49	-676.128921508789	57	205	266.054275512695	134	256	79.1500701904297	190	51	315.044204711914	308	170	174.665390014648	52	197	72.9462432861328	232	76	366.596725463867	308	87	132.565078735352	260	132	899.561264038086	38
Data	51	308	91.6733551025391	170	52	217.624984741211	197	232	132.771438598633	76	308	61.4203338623047	87	260	121.742568969727	132	38	108.514511108398	76	316	74.2976837158203	115	214	139.930953979492	38	335	-185.289779663086	54
Data	80	142	-744.738159179687	197	207	561.465759277344	376	38	131.316162109375	89	40	215.287658691406	349	196	373.729858398437	292	44	192.132995605469	157	189	187.6435546875	204	181	139.579895019531	67	341	176.697875976563	282
Data	128	54	640.02116394043	332	243	141.718887329102	102	179	94.7569427490234	80	133	86.6343536376953	142	32	229.564987182617	299	171	310.032241821289	271	235	234.906234741211	240	110	228.498489379883	46	251	-284.570877075195	293
Data	275	50	-906.92463684082	138	72	535.800247192383	330	205	80.1174163818359	49	338	169.625503540039	269	60	259.856735229492	190	24	164.347244262695	226	111	300.019882202148	267	212	143.004531860352	198	158	646.520919799805	292
Data	84	292	322.279663085938	229	177	155.377563476563	105	138	61.1160888671875	47	23	88.6983642578125	176	348	260.483764648438	289	244	246.925415039063	178	62	156.507690429688	213	148	256.683715820312	96	106	-266.187133789062	205
Data	119	89	428.226867675781	67	79	20.7939453125	164	170	253.903991699219	219	74	125.254272460938	59	271	49.2139282226563	65	138	66.183349609375	56	256	84.9535522460937	184	81	263.315551757813	100	71	-345.830261230469	98
Data	50	292	142.739532470703	77	92	59.7961120605469	90	61	115.793121337891	107	63	71.8536071777344	43	85	52.5771789550781	111	96	198.649383544922	274	69	295.826080322266	251	69	173.042816162109	130	106	153.399200439453	73
Data	73	192	-26.1090545654297	162	213	289.897445678711	285	65	193.965957641602	94	55	46.0154266357422	74	291	161.812454223633	263	110	321.072860717773	297	92	197.500747680664	92	302	97.8900604248047	303	338	580.913650512695	239
Data	223	158	355.060165405273	320	233	279.379165649414	249	152	226.538497924805	220	75	237.250076293945	272	195	302.018783569336	301	363	256.431533813477	182	262	114.508834838867	92	153	121.743850708008	164	49	179.953964233398	320
Data	235	277	1169.85537719727	181	268	-92.3893737792969	177	374	412.312164306641	389	232	212.827178955078	70	59	41.1244201660156	75	46	85.8054504394531	68	204	117.260894775391	303	103	458.451690673828	138	103	-761.684661865234	90
Data	81	133	11.55712890625	140	108	170.088500976563	134	133	97.733154296875	81	73	70.9403076171875	56	132	43.7216796875	54	73	97.5577392578125	158	154	194.803955078125	174	91	113.097045898438	97	242	182.26123046875	58
Data	155	154	19.7669525146484	113	98	162.098342895508	150	167	120.467330932617	103	139	100.837783813477	104	128	104.622787475586	104	118	109.708084106445	127	107	151.288009643555	168	126	162.388931274414	135	133	108.455184936523	98
Data	179	142	337.4912109375	126	300	159.735717773437	282	283	315.831787109375	247	129	161.322387695313	134	119	168.75048828125	210	184	202.252807617187	147	128	109.153564453125	152	169	232.058227539062	163	163	-139.052734375	212
Data	136	97	-10.5538787841797	183	151	241.769149780273	167	193	74.7870025634766	43	135	78.7506561279297	143	153	189.883743286133	196	120	169.265365600586	138	142	128.650405883789	145	136	162.852340698242	152	153	131.813552856445	258
Data	234	212	327.921829223633	233	261	196.663681030273	227	298	271.678482055664	292	219	279.314865112305	246	249	210.737869262695	188	200	184.405502319336	200	102	230.482803344727	267	219	293.318405151367	286	214	231.608596801758	186
